,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations
0,ABW,Aruba,North America,,Latin America and Caribbean,Latin America and Caribbean
1,AFG,Afghanistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia
2,AGO,Angola,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
3,AIA,Anguilla,North America,,,Latin America and Caribbean
4,ALA,Åland Islands,Europe,,,
5,ALB,Albania,Europe,Europe,Europe and Central Asia,Europe and Northern America
6,AND,Andorra,Europe,Europe,Europe and Central Asia,Europe and Northern America
7,ANT,Netherlands Antilles,North America,,,
8,ARE,United Arab Emirates,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
9,ARG,Argentina,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
10,ARM,Armenia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
11,ASM,American Samoa,Oceania,,East Asia and Pacific,Oceania
12,ATF,French Southern Territories,Antarctica,,,
13,ATG,Antigua and Barbuda,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
14,AUS,Australia,Oceania,Western Pacific,East Asia and Pacific,Oceania
15,AUT,Austria,Europe,Europe,Europe and Central Asia,Europe and Northern America
16,AZE,Azerbaijan,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
17,BDI,Burundi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
18,BEL,Belgium,Europe,Europe,Europe and Central Asia,Europe and Northern America
19,BEN,Benin,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
20,BES,Bonaire Sint Eustatius and Saba,North America,,,Latin America and Caribbean
21,BFA,Burkina Faso,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
22,BGD,Bangladesh,Asia,South-East Asia,South Asia,Central and Southern Asia
23,BGR,Bulgaria,Europe,Europe,Europe and Central Asia,Europe and Northern America
24,BHR,Bahrain,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
25,BHS,Bahamas,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
26,BIH,Bosnia and Herzegovina,Europe,Europe,Europe and Central Asia,Europe and Northern America
27,BLM,Saint Barthélemy,North America,,,
28,BLR,Belarus,Europe,Europe,Europe and Central Asia,Europe and Northern America
29,BLZ,Belize,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
30,BMU,Bermuda,North America,,North America,Europe and Northern America
31,BOL,Bolivia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
32,BRA,Brazil,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
33,BRB,Barbados,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
34,BRN,Brunei,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
35,BRN,Brunei Darussalam,,,,
36,BTN,Bhutan,Asia,South-East Asia,South Asia,Central and Southern Asia
