iso_code,country,group_OWID_Continent,group_UN_Region,group_WHO_Region,group_WB_region,group_WB_adminregion,group_WB_incomeLevel,group_WB_lendingType,group_WB_longitude,group_WB_latitude,group_OWID_Continent_exclude_US,group_UN_Region_exclude_US,group_WHO_Region_exclude_US,group_WB_region_exclude_US,group_WB_adminregion_exclude_US,group_WB_incomeLevel_exclude_US,group_WB_lendingType_exclude_US,group_is_USA,year,area,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_cons_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,gdp,gdp_per_captia,gdp_ppp,gdp_ppp_per_capita,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,population,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
ARG,Argentina,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,-58.4173,-34.6118,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Other Entities,2019,2736690.0,2.137,0.376,401.292,17.97,14.515,0.65,0.491,1.914,351.351,-40.741,-5.585,181.417,8.124,26.574,1.19,0.0,,,,0.898,0.865,143.15,132.46,-5.818,-58.016,20970.785,,-7.194,-61.432,2026.544,90.75,17698.047,792.53,68.511,84.394,-4.404,-21.448,465.595,1929.18,86.39,10397.233,5.556,21.904,9293.253,416.158,65.22,49.58,451932356085.842,10056.637940265,1033557797795.68,22999.2750525577,46.54,-11.328,-11.725,91.785,610.308,27.33,2049.667,20.633,9.774,2.386,3.416,146.556,931.429,41.71,3272.755,31.489,15.606,10.69,7.468,22.408,3.827,20.907,177.085,7.93,466.869,5.987,2.226,-9.739,-34.4,318.811,70.789,3.17,7119.397,4.693,15.032,7488.702,335.349,2.393,33.949,1.543,0.65,0.0,31.212,0.367,14.515,0.0,34.447,0.491,0.0,0.164,2957.972,44938712.0,939.086,-0.326,-0.411,125.649,754.343,33.78,2805.886,25.502,13.38,636.844,1.711,1.98,17.865,0.8,44.221,0.604,0.211,252.332,8.86,12.371,111.655,5.0,276.26,3.775,1.317
AUS,Australia,Oceania,Oceania,Western Pacific,East Asia & Pacific,,High income,Not classified,149.129,-35.282,Oceania,Oceania,Western Pacific,East Asia & Pacific,,High income,Not classified,Other Entities,2019,7692020.0,-7.018,-0.118,61.956,1.561,130.142,3.28,1.311,0.096,588.108,-4.22,-21.472,19334.678,487.295,5623.095,141.72,0.921,33.498,145611.576,3669.878,56.629,29.849,250.26,250.26,3.159,49.998,64774.684,,2.479,36.135,7891.061,198.88,59274.607,1493.91,79.469,91.509,17.487,62.648,420.91,2090.608,52.69,16700.659,13.596,171.332,56797.954,1431.49,21.054,25.783,1391952510370.48,54875.2859563351,1312636660762.97,51748.3977215322,147.18,-18.898,-8.143,34.949,616.588,15.54,1386.69,6.21,2.141,11.112,13.863,138.621,2038.63,51.38,5500.129,20.531,8.491,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.853,-5.041,585.704,177.358,4.47,23239.271,31.129,53.194,8890.799,224.077,1.786,35.877,8.587,3.28,0.0,-3.712,-0.331,130.142,0.0,340.705,1.311,0.0,0.526,9929.691,25365745.0,1632.529,11.112,13.863,138.621,2038.63,51.38,5500.129,20.531,8.491,47.816,14.656,45.307,589.211,14.85,1797.682,5.934,2.775,19.296,7.799,48.216,702.689,17.71,1913.096,7.077,2.953
AUT,Austria,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,16.3798,48.2201,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,82520.0,0.591,0.034,653.44,5.852,520.373,4.66,6.576,1.407,160.457,2.301,0.743,3688.177,33.028,167.502,1.5,,,,,2.117,7.94,73.99,70.86,4.741,18.827,46449.948,,3.199,8.538,1811.257,16.22,30759.648,275.456,22.89,66.221,2.458,2.135,89.004,1264.083,11.32,9938.962,,,,,15.975,21.397,445011872704.47,50114.4011099728,515713331248.954,58076.348801448,11.37,7.089,6.632,100.176,4559.409,40.83,11186.495,57.621,24.083,7.901,10.289,140.509,6101.546,54.64,15690.338,77.11,33.779,3.13,4.23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,5.66,153.423,379.672,3.4,17132.509,,,,,4.798,36.884,11.75,4.66,0.0,-4.105,-0.503,520.373,0.0,1312.148,6.576,0.0,2.825,7912.802,8879920.0,415.964,7.901,10.289,140.509,6101.546,54.64,15690.338,77.11,33.779,16.54,0.598,4.215,189.836,1.7,470.654,2.399,1.013,23.537,3.528,18.516,831.927,7.45,2067.6,10.514,4.451
BDI,Burundi,Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,29.3639,-3.3784,Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Other Entities,2019,25680.0,,,,,0.867,0.01,2.778,,250.0,,,,,0.0,0.0,,,,,0.0,,0.46,0.36,9.977,0.333,318.749,,,,10.407,0.12,,,33.333,,,,,0.0,0.0,,,,,,0.0,,2631434363.22693,228.213589244227,9033653418.07496,783.451983198669,0.09,,,,19.08,0.22,,61.111,,,,,20.814,0.24,,66.667,,0.1,21.739,,,,0.0,0.0,,0.0,,,,,10.407,0.12,,,,,,33.333,,,0.01,0.0,,,0.867,0.0,,2.778,0.0,,31.221,11530577.0,3.675,,,,20.814,0.24,,66.667,,,,,0.867,0.01,,2.778,,,,,0.0,0.0,,0.0,
BEL,Belgium,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,4.36761,50.8371,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,30280.0,0.324,0.017,469.694,5.42,447.166,5.16,5.59,0.731,186.241,0.148,0.053,3133.438,36.158,7.799,0.09,,,,,0.098,4.88,90.45,92.3,3.106,22.318,64210.141,,-3.352,-20.095,2540.876,29.32,50212.968,579.424,31.766,78.201,3.019,5.094,173.835,2213.301,25.54,15064.583,,,,,27.671,23.461,535288715239.999,46591.4916067396,623501361331.917,54269.5140327442,17.19,-4.023,-0.031,0.748,25.998,0.3,64.806,0.325,0.101,35.609,42.413,161.519,5457.858,62.98,13997.225,68.234,21.799,-1.85,-2.045,51.635,36.699,107.774,3771.451,43.52,9339.709,47.151,14.546,-6.396,-25.243,369.431,319.776,3.69,32014.947,,,,,3.998,49.86,12.978,5.16,0.0,-4.556,-0.619,447.166,0.0,1124.642,5.59,0.0,1.752,7998.734,11488980.0,740.942,11.894,5.713,53.745,1686.407,19.46,4657.516,21.083,7.254,8.415,0.816,10.516,368.306,4.25,911.362,4.605,1.419,29.808,5.53,24.083,844.937,9.75,2087.012,10.563,3.25
BGD,Bangladesh,Asia,Central and Southern Asia,South-East Asia,South Asia,South Asia,Lower middle income,IDA,90.4113,23.7055,Asia,Central and Southern Asia,South-East Asia,South Asia,South Asia,Lower middle income,IDA,Other Entities,2019,130170.0,,,,,0.184,0.03,0.038,,536.181,61.911,14.739,236.405,38.545,19.136,3.12,0.0,,,,3.92,8.464,86.39,79.6,11.893,48.402,2792.993,,11.96,48.333,480.661,78.37,2775.07,452.465,98.455,99.358,12.78,35.054,309.344,368.117,60.02,1897.279,-4.881,-12.973,1550.753,252.844,75.402,67.93,302571320445.75,1855.74009422319,807854957463.322,4954.76184812582,42.68,-5.241,-0.113,2.038,5.029,0.82,12.5,1.03,0.448,2.394,0.068,2.923,7.544,1.23,17.925,1.545,0.642,6.79,7.86,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.376,-1.459,104.576,93.409,15.23,641.387,0.0,,,,19.133,22.964,0.007,0.03,0.0,-0.389,-0.0,0.184,0.0,0.044,0.038,0.0,0.002,488.205,163046173.0,455.387,2.394,0.068,2.923,7.544,1.23,17.925,1.545,0.642,26.494,0.181,0.865,2.269,0.37,5.304,0.465,0.19,-0.44,-0.0,0.013,0.061,0.01,0.077,0.013,0.003
BGR,Bulgaria,Europe,Europe and Northern America,Europe,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,23.3238,42.7105,Europe,Europe and Northern America,Europe,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Other Entities,2019,108560.0,,,,,259.996,1.82,4.153,,369.694,-6.893,-4.374,8438.948,59.074,2457.102,17.2,-7.437,-4.557,8103.072,56.722,39.251,28.531,38.01,43.82,-3.448,-7.395,29578.285,,-2.577,-3.843,2821.381,19.75,20756.213,145.296,45.071,70.174,-6.353,-1.921,28.309,307.138,2.15,4044.043,0.0,,,,4.906,13.672,68915416141.9576,9879.26853313318,170889592876.083,24497.6272661983,16.2,-42.586,-5.447,7.344,418.564,2.93,1049.121,6.686,3.547,-5.885,-3.733,59.706,3438.514,24.07,8529.263,54.929,28.836,-5.81,-15.285,2.288,0.917,40.995,2365.675,16.56,5856.265,37.791,19.799,4.42,2.451,57.913,57.142,0.4,8273.223,0.0,,,,0.913,27.971,4.534,1.82,0.0,14.588,0.577,259.996,0.0,647.733,4.153,0.0,2.19,6259.895,6975761.0,207.051,-19.906,-4.65,18.711,1072.839,7.51,2672.998,17.138,9.037,7.031,0.235,3.572,205.711,1.44,510.269,3.286,1.725,-0.454,-0.015,3.261,188.568,1.32,465.875,3.012,1.575
BOL,Bolivia,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,-66.1936,-13.9908,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,Other Entities,2019,1083300.0,,,,,45.166,0.52,5.205,,315.315,,,,,0.0,0.0,,,,,0.0,,9.99,9.99,-2.44,-2.287,7940.383,,,,520.277,5.99,,,59.96,,,,,520.277,5.99,,-12.243,-20.857,12985.504,149.503,59.96,,40895322843.7851,3552.06814321502,104693606216.901,9093.43165872246,3.15,,,,279.681,3.22,,32.232,,,,,347.43,4.0,,40.04,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,,0.52,0.0,,,45.166,0.0,,5.205,0.0,,867.707,11513102.0,91.418,,,,347.43,4.0,,40.04,,,,,16.503,0.19,,1.902,,,,,6.08,0.07,,0.701,
BRA,Brazil,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,-47.9292,-15.7801,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Other Entities,2019,8358140.0,11.062,25.954,1234.697,260.582,248.236,52.39,8.525,7.552,124.612,-5.711,-10.904,853.044,180.034,110.543,23.33,-8.395,-2.304,119.139,25.144,3.796,5.218,639.51,614.55,2.512,84.562,16348.695,,0.659,12.272,428.288,90.39,8877.2,1873.529,14.708,54.299,-0.439,-1.574,357.333,273.206,57.66,1693.128,2.322,5.842,1219.928,257.465,9.382,10.356,1877824273720.78,8897.55296585529,3247679577278.91,15388.234915991,76.58,1.912,18.489,985.231,1866.387,393.9,4668.243,64.096,28.554,4.805,72.29,1576.858,2483.588,524.16,7471.508,85.292,45.701,24.96,3.903,2.523,0.983,39.938,72.116,15.22,189.238,2.477,1.158,1.887,24.751,1336.16,44.539,9.4,6331.029,7.525,122.71,8308.508,1753.507,1.53,38.725,135.996,52.39,0.0,0.618,0.835,248.236,0.0,644.38,8.525,0.0,3.941,2911.876,211049519.0,3450.384,4.865,71.307,1536.92,2411.472,508.94,7282.27,82.815,44.543,91.54,7.875,16.478,31.557,6.66,78.077,1.084,0.478,15.068,18.153,138.633,265.293,55.99,656.873,9.111,4.018
CAN,Canada,North America,Europe and Northern America,Americas,North America,,High income,Not classified,-75.6919,45.4215,North America,Europe and Northern America,Americas,North America,,High income,Not classified,Other Entities,2019,8965590.0,5.626,1.375,689.832,25.807,259.816,9.72,1.534,0.643,133.531,-2.772,-5.027,4712.607,176.303,1212.209,45.35,-6.803,-23.09,8455.414,316.326,7.156,4.392,586.7,633.71,0.087,3.504,107301.097,,0.832,22.139,3053.911,114.25,71709.519,2682.728,18.029,66.83,1.222,14.23,1178.442,1759.374,65.82,31499.878,-4.407,-77.904,45170.049,1689.858,10.386,29.357,1742015045482.31,46328.6718408497,1853711000627.98,49299.21177121,84.62,-1.976,-18.951,940.143,10103.435,377.98,25130.101,59.646,23.42,-1.38,-18.635,1331.521,13885.206,519.46,35591.663,81.971,33.17,-47.01,-8.013,0.092,0.229,248.845,2535.348,94.85,6651.646,14.967,6.199,0.984,12.936,1327.98,82.329,3.08,35497.035,2.218,66.49,81902.694,3064.065,0.486,33.082,25.411,9.89,0.17,-3.011,-0.789,264.36,4.544,679.238,1.561,0.027,0.633,16939.117,37601230.0,4014.246,-1.713,-18.864,1082.676,11349.858,424.61,28940.018,67.004,26.971,10.652,1.005,10.442,109.059,4.08,279.119,0.644,0.26,-1.826,-1.504,80.872,873.004,32.66,2161.728,5.154,2.015
