iso_code,year,attr,wb
AFE,1961,area,14777964.271
AFE,1962,area,14777964.271
AFE,1963,area,14777964.271
AFE,1964,area,14777964.271
AFE,1965,area,14777964.271
AFE,1966,area,14777964.271
AFE,1967,area,14777964.271
AFE,1968,area,14777964.271
AFE,1969,area,14777964.271
AFE,1970,area,14777964.271
AFE,1971,area,14777964.271
AFE,1972,area,14777964.271
AFE,1973,area,14777964.271
AFE,1974,area,14777964.271
AFE,1975,area,14777964.271
AFE,1976,area,14777964.271
AFE,1977,area,14777964.271
AFE,1978,area,14777964.271
AFE,1979,area,14777964.271
AFE,1980,area,14777964.271
AFE,1981,area,14777964.271
AFE,1982,area,14777964.271
AFE,1983,area,14777964.271
AFE,1984,area,14777964.271
AFE,1985,area,14777964.271
AFE,1986,area,14777964.271
AFE,1987,area,14777964.271
AFE,1988,area,14777964.271
AFE,1989,area,14777964.271
AFE,1990,area,14777964.271
AFE,1991,area,14777964.271
AFE,1992,area,14777964.271
AFE,1993,area,14676964.271
AFE,1994,area,14676964.271
AFE,1995,area,14676964.271
AFE,1996,area,14676964.271
AFE,1997,area,14676964.271
AFE,1998,area,14676964.271
AFE,1999,area,14676964.271
AFE,2000,area,14676964.271
AFE,2001,area,14676964.271
AFE,2002,area,14676964.271
AFE,2003,area,14676964.271
AFE,2004,area,14806228.599
AFE,2005,area,14806282.048
AFE,2006,area,14806278.615
AFE,2007,area,14806251.567
AFE,2008,area,14806236.327
AFE,2009,area,14806235.254
AFE,2010,area,14806927.65
AFE,2011,area,14807137.359
AFE,2012,area,14807138.97
AFE,2013,area,14807144.332
AFE,2014,area,14807112.678
AFE,2015,area,14807162.338
AFE,2016,area,14807070.342
AFE,2017,area,14807044.032
AFE,2018,area,14807043.228
AFE,2019,area,14807043.228
AFE,2020,area,14807043.228
AFE,2021,area,14807043.228
AFW,1961,area,9046580.0
AFW,1962,area,9046580.0
AFW,1963,area,9046580.0
AFW,1964,area,9046580.0
AFW,1965,area,9046580.0
AFW,1966,area,9046580.0
AFW,1967,area,9046580.0
AFW,1968,area,9046580.0
AFW,1969,area,9046580.0
AFW,1970,area,9046580.0
AFW,1971,area,9046580.0
AFW,1972,area,9046580.0
AFW,1973,area,9046580.0
AFW,1974,area,9046180.0
AFW,1975,area,9045780.0
AFW,1976,area,9045780.0
