Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations
ABW,Aruba,North America,,Latin America and Caribbean,Latin America and Caribbean
AFG,Afghanistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia
AGO,Angola,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
AIA,Anguilla,North America,,,Latin America and Caribbean
ALA,Aland Islands,Europe,,,Europe and Northern America
ALB,Albania,Europe,Europe,Europe and Central Asia,Europe and Northern America
AND,Andorra,Europe,Europe,Europe and Central Asia,Europe and Northern America
ANT,Netherlands Antilles,North America,,,
ARE,United Arab Emirates,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
ARG,Argentina,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
ARM,Armenia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
ASM,American Samoa,Oceania,,East Asia and Pacific,Oceania
ATA,Antarctica,Antarctica,,,
ATF,French Southern Territories,Antarctica,,,
ATG,Antigua and Barbuda,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
AUS,Australia,Oceania,Western Pacific,East Asia and Pacific,Oceania
AUT,Austria,Europe,Europe,Europe and Central Asia,Europe and Northern America
AZE,Azerbaijan,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
BDI,Burundi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
BEL,Belgium,Europe,Europe,Europe and Central Asia,Europe and Northern America
BEN,Benin,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
BES,Bonaire Sint Eustatius and Saba,North America,,,Latin America and Caribbean
BFA,Burkina Faso,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
BGD,Bangladesh,Asia,South-East Asia,South Asia,Central and Southern Asia
BGR,Bulgaria,Europe,Europe,Europe and Central Asia,Europe and Northern America
BHR,Bahrain,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
BHS,Bahamas,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
BIH,Bosnia and Herzegovina,Europe,Europe,Europe and Central Asia,Europe and Northern America
BLM,Saint Barthélemy,North America,,,
BLR,Belarus,Europe,Europe,Europe and Central Asia,Europe and Northern America
BLZ,Belize,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
BMU,Bermuda,North America,,North America,Europe and Northern America
BOL,Bolivia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
BRA,Brazil,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
BRB,Barbados,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
