,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,iso2Code,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,WB
0.0,ABW,Aruba,North America,,Latin America and Caribbean,Latin America and Caribbean,ABW,AW,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,ABW
1.0,AFG,Afghanistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia,AFG,AF,Afghanistan,South Asia,South Asia,Low income,IDA,Kabul,69.1761,34.5228,AFG
2.0,AGO,Angola,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,AGO,AO,Angola,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,13.242,-8.81155,AGO
3.0,AIA,Anguilla,North America,,,Latin America and Caribbean,AIA,,,,,,,,,,
4.0,ALA,Aland Islands,Europe,,,Europe and Northern America,ALA,,,,,,,,,,
5.0,ALB,Albania,Europe,Europe,Europe and Central Asia,Europe and Northern America,ALB,AL,Albania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317,ALB
6.0,AND,Andorra,Europe,Europe,Europe and Central Asia,Europe and Northern America,AND,AD,Andorra,Europe & Central Asia,,High income,Not classified,Andorra la Vella,1.5218,42.5075,AND
7.0,ANT,Netherlands Antilles,North America,,,,ANT,,,,,,,,,,
8.0,ARE,United Arab Emirates,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,ARE,AE,United Arab Emirates,Middle East & North Africa,,High income,Not classified,Abu Dhabi,54.3705,24.4764,ARE
9.0,ARG,Argentina,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,ARG,AR,Argentina,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118,ARG
10.0,ARM,Armenia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,ARM,AM,Armenia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.509,40.1596,ARM
11.0,ASM,American Samoa,Oceania,,East Asia and Pacific,Oceania,ASM,AS,American Samoa,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,Not classified,Pago Pago,-170.691,-14.2846,ASM
12.0,ATA,Antarctica,Antarctica,,,,ATA,,,,,,,,,,
13.0,ATF,French Southern Territories,Antarctica,,,,ATF,,,,,,,,,,
14.0,ATG,Antigua and Barbuda,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,ATG,AG,Antigua and Barbuda,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175,ATG
15.0,AUS,Australia,Oceania,Western Pacific,East Asia and Pacific,Oceania,AUS,AU,Australia,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282,AUS
16.0,AUT,Austria,Europe,Europe,Europe and Central Asia,Europe and Northern America,AUT,AT,Austria,Europe & Central Asia,,High income,Not classified,Vienna,16.3798,48.2201,AUT
17.0,AZE,Azerbaijan,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,AZE,AZ,Azerbaijan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Baku,49.8932,40.3834,AZE
18.0,BDI,Burundi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,BDI,BI,Burundi,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bujumbura,29.3639,-3.3784,BDI
19.0,BEL,Belgium,Europe,Europe,Europe and Central Asia,Europe and Northern America,BEL,BE,Belgium,Europe & Central Asia,,High income,Not classified,Brussels,4.36761,50.8371,BEL
