iso_code,country,year,group_is_USA,group_OWID_Continent,group_WHO_Region,group_WB_incomeLevel,group_WB_lendingType,area,population,gdp,gdp_per_captia,coal_production,electricity_demand,electricity_generation,fossil_fuel_consumption,gas_production,greenhouse_gas_emissions,oil_production
ARG,Argentina,2019,Other Entities,South America,Americas,Upper middle income,IBRD,2736690.0,44938712.0,451932356085.842,10056.637940265,,143.15,132.46,792.53,416.158,46.54,335.349
AUS,Australia,2019,Other Entities,Oceania,Western Pacific,High income,Not classified,7692020.0,25365745.0,1391952510370.48,54875.2859563351,3669.878,250.26,250.26,1493.91,1431.49,147.18,224.077
AUT,Austria,2019,Other Entities,Europe,Europe,High income,Not classified,82520.0,8879920.0,445011872704.47,50114.4011099728,,73.99,70.86,275.456,,11.37,
BDI,Burundi,2019,Other Entities,Africa,Africa,Low income,IDA,25680.0,11530577.0,2631434363.22693,228.213589244227,,0.46,0.36,,,0.09,
BEL,Belgium,2019,Other Entities,Europe,Europe,High income,Not classified,30280.0,11488980.0,535288715239.999,46591.4916067396,,90.45,92.3,579.424,,17.19,
BGD,Bangladesh,2019,Other Entities,Asia,South-East Asia,Lower middle income,IDA,130170.0,163046173.0,302571320445.75,1855.74009422319,,86.39,79.6,452.465,252.844,42.68,
BGR,Bulgaria,2019,Other Entities,Europe,Europe,Upper middle income,IBRD,108560.0,6975761.0,68915416141.9576,9879.26853313318,56.722,38.01,43.82,145.296,,16.2,
BOL,Bolivia,2019,Other Entities,South America,Americas,Lower middle income,IBRD,1083300.0,11513102.0,40895322843.7851,3552.06814321502,,9.99,9.99,,149.503,3.15,
BRA,Brazil,2019,Other Entities,South America,Americas,Upper middle income,IBRD,8358140.0,211049519.0,1877824273720.78,8897.55296585529,25.144,639.51,614.55,1873.529,257.465,76.58,1753.507
CAN,Canada,2019,Other Entities,North America,Americas,High income,Not classified,8965590.0,37601230.0,1742015045482.31,46328.6718408497,316.326,586.7,633.71,2682.728,1689.858,84.62,3064.065
CHL,Chile,2019,Other Entities,South America,Americas,High income,IBRD,743532.0,18952035.0,279385487344.492,14741.7144039936,,80.17,80.17,363.47,,32.45,
CHN,China,2019,Other Entities,Asia,Western Pacific,Upper middle income,IBRD,9424702.9,1407745000.0,14279937467431.0,10143.8381719921,22154.439,7439.41,7456.21,33562.691,1775.598,4174.07,2221.493
COL,Colombia,2019,Other Entities,South America,Americas,Upper middle income,IBRD,1109500.0,50339443.0,323429888934.257,6424.9794924083,673.811,75.58,75.27,379.969,131.939,13.44,542.612
DEU,Germany,2019,Other Entities,Europe,Europe,High income,Not classified,349380.0,83092962.0,3888326788627.44,46794.8992915603,330.528,566.82,599.49,2805.828,53.308,216.76,
DNK,Denmark,2019,Other Entities,Europe,Europe,High income,Not classified,40000.0,5814422.0,347561349210.979,59775.7350964515,,35.33,29.52,127.582,32.026,6.06,58.35
ECU,Ecuador,2019,Other Entities,South America,Americas,Upper middle income,IBRD,248360.0,17373657.0,108108009000.0,6222.52465327248,,29.87,31.69,143.671,,4.65,330.996
EGY,Egypt,2019,Other Entities,Africa,Eastern Mediterranean,Lower middle income,IBRD,995450.0,100388076.0,303080865603.645,3019.09228346646,,182.7,182.99,1024.059,649.387,86.88,369.974
ESP,Spain,2019,Other Entities,Europe,Europe,High income,Not classified,499603.479,47134837.0,1393046093137.25,29554.4905170087,18.377,277.75,270.89,1151.993,,65.96,
FRA,France,2019,Other Entities,Europe,Europe,High income,Not classified,547557.0,67248926.0,2728870246705.88,40578.6442850534,,508.02,565.69,1384.396,,38.77,
GBR,United Kingdom,2019,Other Entities,Europe,Europe,High income,Not classified,241930.0,66836327.0,2878673912414.44,43070.4983595888,17.54,342.82,321.65,1689.786,395.352,85.61,602.64
GRC,Greece,2019,Other Entities,Europe,Europe,High income,Not classified,128900.0,10721582.0,205144152830.847,19133.7577636254,59.633,58.5,48.56,289.293,,21.63,
HUN,Hungary,2019,Other Entities,Europe,Europe,High income,Not classified,91260.0,9771141.0,163526491433.29,16735.6597794761,11.554,46.77,34.19,217.87,,8.69,
IDN,Indonesia,2019,Other Entities,Asia,South-East Asia,Lower middle income,IBRD,1877519.0,270625567.0,1119091259074.62,4135.20153132694,4222.599,280.5,278.82,2266.607,675.834,184.74,444.02
IND,India,2019,Other Entities,Asia,South-East Asia,Lower middle income,IBRD,2973190.0,1366417756.0,2870504096717.77,2100.75146060805,3499.012,1599.78,1603.48,8532.921,269.06,1022.08,437.491
IRL,Ireland,2019,Other Entities,Europe,Europe,High income,Not classified,68890.0,4934340.0,399122063504.148,80886.6157387104,,31.36,30.72,152.871,,10.3,
IRN,Iran,2019,Other Entities,Asia,Eastern Mediterranean,Lower middle income,IBRD,1628760.0,82913893.0,258245497664.394,3114.62275284063,,314.13,317.76,3236.013,2414.215,155.86,1834.805
ITA,Italy,2019,Other Entities,Europe,Europe,High income,Not classified,297730.0,59729081.0,2009383867307.45,33641.6337513622,,329.49,291.35,1494.494,46.212,102.57,49.76
JPN,Japan,2019,Other Entities,Asia,Western Pacific,High income,Not classified,364500.0,126264931.0,5148781948478.17,40777.6086970512,4.893,987.5,987.5,4477.606,,473.7,
KOR,South Korea,2019,Other Entities,Asia,Western Pacific,High income,Not classified,97520.0,51764822.0,1651422932447.77,31902.4169048194,5.963,560.12,560.12,2950.233,,272.42,
MEX,Mexico,2019,Other Entities,North America,Americas,Upper middle income,IBRD,1943950.0,127575529.0,1269433932805.91,9950.45008048459,64.017,330.4,329.58,1929.125,312.949,140.86,1103.901
MNG,Mongolia,2019,Other Entities,Asia,Western Pacific,Lower middle income,IBRD,1557255.0,3225166.0,14206359006.8095,4404.84583020208,302.306,8.23,6.53,,,4.83,
MYS,Malaysia,2019,Other Entities,Asia,Western Pacific,Upper middle income,IBRD,328550.0,31949789.0,365276282438.141,11432.8229973018,,162.18,162.83,1155.18,792.647,89.81,351.386
NLD,Netherlands,2019,Other Entities,Europe,Europe,High income,Not classified,33670.0,17344874.0,910194347568.626,52476.2732533327,,121.66,120.8,901.096,278.444,54.91,
NOR,Norway,2019,Other Entities,Europe,Europe,High income,Not classified,365107.85,5347896.0,404941363636.364,75719.7528965342,,134.12,134.08,163.693,1142.598,4.63,913.482
OWID_EUR,Europe,2019,Other Entities,,,,,,748381407.0,,,1799.794,4747.58,4753.02,17036.962,2352.054,1386.27,1840.145
PAK,Pakistan,2019,Other Entities,Asia,Eastern Mediterranean,Lower middle income,Blend,770880.0,216565317.0,279056608888.638,1288.55632450434,35.393,120.89,120.4,850.364,326.862,43.13,
PER,Peru,2019,Other Entities,South America,Americas,Upper middle income,IBRD,1280000.0,32510462.0,228470919605.669,7027.61220697723,,55.53,55.47,239.752,134.958,13.22,71.005
PHL,Philippines,2019,Other Entities,Asia,Western Pacific,Lower middle income,IBRD,298170.0,108116622.0,376823278560.849,3485.3408438977,,100.91,100.91,499.041,,58.2,
POL,Poland,2019,Other Entities,Europe,Europe,High income,IBRD,306170.0,37965475.0,597280564671.563,15732.2031311754,518.821,173.66,163.04,1101.944,39.852,109.39,
PRT,Portugal,2019,Other Entities,Europe,Europe,High income,Not classified,91605.6,10286263.0,239986922638.902,23330.817288932,,55.13,51.73,215.383,,15.26,
ROU,Romania,2019,Other Entities,Europe,Europe,Upper middle income,IBRD,230080.0,19371648.0,249881592298.072,12899.3461112897,45.682,60.7,59.18,288.943,96.226,16.84,41.484
SWE,Sweden,2019,Other Entities,Europe,Europe,High income,Not classified,407310.0,10278887.0,533879529188.454,51939.4297445291,,142.26,168.42,197.403,,7.92,
THA,Thailand,2019,Other Entities,Asia,South-East Asia,Upper middle income,IBRD,510890.0,69625581.0,544263840039.166,7817.00967118918,41.072,203.85,181.19,1436.945,357.727,89.7,195.43
TUN,Tunisia,2019,Other Entities,Africa,Eastern Mediterranean,Lower middle income,IBRD,155360.0,11694721.0,41804581484.3655,3574.65402418454,,20.39,20.55,,,9.69,22.966
TUR,Turkey,2019,Other Entities,Asia,Europe,Upper middle income,IBRD,769630.0,83429607.0,761004425605.414,9121.51516673708,201.773,302.21,302.79,1478.433,,124.64,
TWN,Taiwan,2019,Other Entities,Asia,,High income,Not classified,,23773880.0,,,,269.68,269.68,1247.893,,154.73,
USA,United States,2019,United States,North America,Americas,High income,Not classified,9147420.0,328329953.0,21433224697000.0,65279.5290260953,3969.054,4195.02,4155.98,21957.297,9299.875,1633.22,8697.417
VNM,Vietnam,2019,Other Entities,Asia,Western Pacific,Lower middle income,IBRD,310070.0,96462108.0,261921244843.172,2715.27598010995,302.106,215.33,214.08,979.427,98.526,115.51,133.073
ZAF,South Africa,2019,Other Entities,Africa,Africa,Upper middle income,IBRD,1213090.0,58558267.0,387934574098.17,6624.76186493309,1726.006,226.76,233.42,1380.084,,170.72,
