id,publication,state,code,col,row
1,New York Times 2,Alaska,AK,3,1
2,New York Times 2,Washington,WA,3,3
3,New York Times 2,Oregon,OR,3,4
4,New York Times 2,California,CA,3,5
5,New York Times 2,Hawaii,HI,3,8
6,New York Times 2,Idaho,ID,4,3
7,New York Times 2,Nevada,NV,4,4
8,New York Times 2,Utah,UT,4,5
9,New York Times 2,Arizona,AZ,4,6
10,New York Times 2,Montana,MT,5,3
11,New York Times 2,Wyoming,WY,5,4
12,New York Times 2,Colorado,CO,5,5
13,New York Times 2,New Mexico,NM,5,6
14,New York Times 2,North Dakota,ND,6,3
15,New York Times 2,South Dakota,SD,6,4
16,New York Times 2,Nebraska,NE,6,5
17,New York Times 2,Kansas,KS,6,6
18,New York Times 2,Oklahoma,OK,6,7
19,New York Times 2,Texas,TX,6,8
20,New York Times 2,Minnesota,MN,7,3
21,New York Times 2,Iowa,IA,7,4
22,New York Times 2,Missouri,MO,7,5
23,New York Times 2,Arkansas,AR,7,6
24,New York Times 2,Louisiana,LA,7,7
25,New York Times 2,Wisconsin,WI,8,2
26,New York Times 2,Illinois,IL,8,3
27,New York Times 2,Indiana,IN,8,4
28,New York Times 2,Kentucky,KY,8,5
29,New York Times 2,Tennessee,TN,8,6
30,New York Times 2,Mississippi,MS,8,7
31,New York Times 2,Michigan,MI,9,3
32,New York Times 2,Ohio,OH,9,4
33,New York Times 2,West Virginia,WV,9,5
34,New York Times 2,North Carolina,NC,9,6
35,New York Times 2,Alabama,AL,9,7
36,New York Times 2,Pennsylvania,PA,10,4
37,New York Times 2,Virginia,VA,10,5
38,New York Times 2,South Carolina,SC,10,6
39,New York Times 2,Georgia,GA,10,7
40,New York Times 2,New York,NY,11,3
41,New York Times 2,New Jersey,NJ,11,4
42,New York Times 2,Maryland,MD,11,5
43,New York Times 2,Florida,FL,11,8
44,New York Times 2,Vermont,VT,12,2
45,New York Times 2,Massachusetts,MA,12,3
46,New York Times 2,Connecticut,CT,12,4
47,New York Times 2,Delaware,DE,12,5
48,New York Times 2,Maine,ME,13,1
49,New York Times 2,New Hampshire,NH,13,2
50,New York Times 2,Rhode Island,RI,13,4
