,StateCode,Year,WoodProduction,Solar,Wind,Geothermal,Hydropower,Wood,Waste,Biodiesel,BiodieselLoss,FuelEthanol,FuelEthanolLoss,Nuclear,Coal,NaturalGas,Petroleum,ElectricPower,Transportation,Industrial,Commercial,Residential,ElectricLoss,DensifiedBiomassExport,ElectricImport,CoalCokeImport,NetInterstateImport,ElectricExport,CoalCokeExport,NetInterstateExport,BiodieselSum,FuelEthanolSum,Biofuel,WoodWaste,Biomass,NoncombustibleRenewable,Renewable,FossilFuel,Nonrenewable,Clean,Total,Consumption,Biodiesel->Transportation,BiodieselLoss->Industrial,Coal->Transportation,Coal->Residential,Coal->Industrial,Coal->ElectricPower,Coal->Commercial,CoalCokeImport->Industrial,ElectricImport->ElectricPower,ElectricPower->Transportation,ElectricPower->Residential,ElectricPower->Industrial,ElectricPower->ElectricLoss,ElectricPower->ElectricExport,ElectricPower->Commercial,FuelEthanol->Transportation,FuelEthanol->Industrial,FuelEthanol->Commercial,FuelEthanolLoss->Industrial,Geothermal->Residential,Geothermal->Industrial,Geothermal->ElectricPower,Geothermal->Commercial,Hydropower->Industrial,Hydropower->ElectricPower,Hydropower->Commercial,Industrial->CoalCokeExport,NaturalGas->Transportation,NaturalGas->Residential,NaturalGas->Industrial,NaturalGas->ElectricPower,NaturalGas->Commercial,Nuclear->ElectricPower,Petroleum->Transportation,Petroleum->Residential,Petroleum->Industrial,Petroleum->ElectricPower,Petroleum->Commercial,Solar->Residential,Solar->Industrial,Solar->ElectricPower,Solar->Commercial,Waste->Industrial,Waste->ElectricPower,Waste->Commercial,Wind->Industrial,Wind->ElectricPower,Wind->Commercial,Wood->Residential,Wood->Industrial,Wood->ElectricPower,Wood->Commercial,WoodProduction->Wood,WoodProduction->DensifiedBiomassExport,NetInterstateImport->ElectricPower,ElectricPower->NetInterstateExport
59,AK,2019,6406.0,40.0,1270.0,186.0,14456.0,6406.0,386.0,858.0,0.0,0.0,0.0,0.0,17620.0,354297.0,219614.0,55058.0,162801.0,339220.0,40993.0,36914.0,35204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,0.0,858.0,6792.0,7650.0,15952.0,23602.0,591531.0,591531.0,23602.0,615133.0,634986.0,858.0,0.0,0.0,0.0,17.0,11035.0,6568.0,0.0,0.0,0.0,6579.0,4271.0,35204.0,0.0,9004.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,85.0,0.0,13295.0,1161.0,0.0,344.0,17698.0,297448.0,24442.0,14365.0,0.0,161598.0,6971.0,37406.0,5016.0,8622.0,28.0,0.0,0.0,11.0,8.0,0.0,378.0,0.0,1270.0,0.0,5536.0,70.0,0.0,801.0,6406.0,0.0,0.0,0.0
119,AL,2019,169734.0,3628.0,0.0,141.0,101563.0,164427.0,1577.0,5205.0,20.0,22061.0,0.0,455865.0,317180.0,748130.0,526186.0,1683781.0,497049.0,621483.0,117092.0,150322.0,536879.0,5308.0,0.0,0.0,-423161.0,0.0,0.0,423161.0,5225.0,22061.0,27286.0,166004.0,193290.0,105332.0,298622.0,1591496.0,2047361.0,754487.0,2345983.0,3069727.0,5205.0,20.0,0.0,0.0,48785.0,268395.0,0.0,0.0,0.0,0.0,110602.0,111241.0,536879.0,0.0,78737.0,21400.0,290.0,371.0,0.0,99.0,42.0,0.0,0.0,0.0,101563.0,0.0,0.0,23824.0,31472.0,236587.0,430679.0,25570.0,455865.0,446620.0,6068.0,61291.0,167.0,12039.0,103.0,9.0,3428.0,88.0,1055.0,523.0,0.0,0.0,0.0,0.0,1978.0,162162.0,0.0,286.0,169734.0,5308.0,-423161.0,423161.0
179,AR,2019,80986.0,2256.0,0.0,808.0,36819.0,72153.0,4040.0,3996.0,117.0,12020.0,0.0,141750.0,239798.0,371116.0,328715.0,701504.0,287248.0,291940.0,105704.0,110146.0,299693.0,8833.0,0.0,0.0,-118859.0,0.0,0.0,118859.0,4113.0,12020.0,16133.0,76193.0,92326.0,39883.0,132209.0,939629.0,1081379.0,273959.0,1213588.0,1496542.0,3996.0,117.0,0.0,0.0,4045.0,235754.0,0.0,0.0,0.0,1.0,63915.0,59408.0,299693.0,0.0,40769.0,11589.0,251.0,180.0,0.0,797.0,12.0,0.0,0.0,0.0,36819.0,0.0,0.0,7704.0,34175.0,110074.0,163318.0,55846.0,141750.0,263958.0,4103.0,52533.0,449.0,7672.0,258.0,30.0,1794.0,173.0,1214.0,2761.0,66.0,0.0,0.0,0.0,6899.0,64256.0,0.0,998.0,80986.0,8833.0,-118859.0,118859.0
239,AZ,2019,10937.0,73265.0,4937.0,345.0,55251.0,10937.0,425.0,2208.0,0.0,26096.0,1126.0,333312.0,257727.0,483687.0,603948.0,1366852.0,563555.0,138878.0,160607.0,192306.0,494869.0,0.0,0.0,0.0,-303039.0,10.0,0.0,303039.0,2208.0,27222.0,29430.0,11362.0,40792.0,133798.0,174590.0,1345362.0,1678674.0,507902.0,1853264.0,2422198.0,2208.0,0.0,0.0,0.0,6557.0,251170.0,0.0,0.0,0.0,38.0,118465.0,47027.0,494869.0,10.0,100365.0,24777.0,645.0,675.0,1126.0,50.0,247.0,0.0,48.0,0.0,55251.0,0.0,0.0,17516.0,43411.0,19216.0,367765.0,35780.0,333312.0,519016.0,5549.0,62625.0,717.0,16041.0,19373.0,123.0,46860.0,6909.0,27.0,398.0,0.0,0.0,4937.0,0.0,5459.0,1285.0,3403.0,790.0,10937.0,0.0,-303039.0,303039.0
299,CA,2019,98301.0,405668.0,122311.0,99329.0,341549.0,98301.0,40974.0,27005.0,75.0,131800.0,9821.0,168799.0,30886.0,2217221.0,3399725.0,942282.0,3068709.0,1520783.0,788247.0,935027.0,1489488.0,0.0,22767.0,0.0,692703.0,6675.0,0.0,-692703.0,27080.0,141621.0,168701.0,139275.0,307976.0,968857.0,1276833.0,5647832.0,5816631.0,1445632.0,7093464.0,7255048.0,27005.0,75.0,0.0,0.0,30886.0,0.0,0.0,0.0,22767.0,2619.0,298632.0,163120.0,1489488.0,6675.0,389921.0,125741.0,2233.0,3826.0,9821.0,287.0,1217.0,97190.0,634.0,0.0,341429.0,120.0,0.0,48859.0,480485.0,835569.0,587611.0,264692.0,168799.0,2864485.0,26845.0,425647.0,392.0,82356.0,101733.0,19708.0,250585.0,33643.0,8144.0,23741.0,9089.0,46.0,122212.0,53.0,27045.0,24317.0,43026.0,3912.0,98301.0,0.0,692703.0,-692703.0
359,CO,2019,16940.0,16781.0,96640.0,759.0,16127.0,16940.0,1095.0,1532.0,0.0,20928.0,6969.0,0.0,273338.0,559849.0,532052.0,505204.0,461291.0,327838.0,159293.0,248765.0,379290.0,0.0,0.0,0.0,33467.0,0.0,0.0,-33467.0,1532.0,27897.0,29429.0,18035.0,47464.0,130307.0,177771.0,1365239.0,1365239.0,177771.0,1543010.0,1702391.0,1532.0,0.0,0.0,0.0,4282.0,269056.0,0.0,0.0,0.0,388.0,66209.0,54220.0,379290.0,0.0,72032.0,19929.0,454.0,544.0,6969.0,271.0,266.0,0.0,221.0,0.0,16009.0,118.0,0.0,11061.0,151651.0,187665.0,143841.0,65632.0,0.0,428381.0,13402.0,73443.0,115.0,16711.0,3948.0,22.0,10712.0,2099.0,25.0,1070.0,0.0,25.0,96601.0,14.0,13285.0,467.0,1267.0,1922.0,16940.0,0.0,33467.0,-33467.0
419,CT,2019,14313.0,7546.0,109.0,21.0,3811.0,14313.0,9000.0,1057.0,32.0,12968.0,0.0,174730.0,867.0,293098.0,305667.0,427898.0,232831.0,57210.0,118751.0,168907.0,158337.0,0.0,0.0,0.0,-87183.0,0.0,0.0,87183.0,1089.0,12968.0,14057.0,23313.0,37370.0,11487.0,48857.0,599632.0,774362.0,223587.0,823219.0,1005597.0,1057.0,32.0,0.0,0.0,0.0,867.0,0.0,0.0,0.0,603.0,42628.0,10481.0,158337.0,0.0,41482.0,12492.0,141.0,335.0,0.0,21.0,0.0,0.0,0.0,0.0,3811.0,0.0,0.0,6926.0,53808.0,25262.0,147715.0,59386.0,174730.0,211752.0,61677.0,17394.0,279.0,14565.0,4076.0,266.0,1189.0,2014.0,142.0,8858.0,0.0,0.0,109.0,0.0,6697.0,3491.0,3157.0,969.0,14313.0,0.0,-87183.0,87183.0
479,DC,2019,0.0,920.0,0.0,22.0,0.0,0.0,1060.0,28.0,0.0,1038.0,0.0,0.0,5.0,31613.0,18850.0,-114047.0,19667.0,3646.0,46122.0,21652.0,76576.0,0.0,0.0,0.0,114126.0,0.0,0.0,-114126.0,28.0,1038.0,1066.0,1060.0,2126.0,942.0,3068.0,50468.0,50468.0,3068.0,53536.0,-22960.0,28.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1193.0,8690.0,613.0,76576.0,0.0,27133.0,996.0,14.0,28.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2436.0,12487.0,0.0,0.0,16689.0,0.0,15014.0,60.0,3019.0,0.0,758.0,393.0,0.0,79.0,448.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114126.0,-114126.0
539,DE,2019,788.0,1628.0,47.0,430.0,0.0,788.0,716.0,166.0,0.0,4769.0,0.0,0.0,2179.0,93441.0,118439.0,-41340.0,84552.0,73324.0,35091.0,36208.0,67330.0,0.0,0.0,0.0,73902.0,0.0,0.0,-73902.0,166.0,4769.0,4935.0,1504.0,6439.0,2105.0,8544.0,214059.0,214059.0,8544.0,222603.0,187835.0,166.0,0.0,0.0,0.0,0.0,2179.0,0.0,0.0,0.0,0.0,17074.0,6974.0,67330.0,0.0,15086.0,4629.0,52.0,88.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,12144.0,35324.0,29120.0,16262.0,0.0,79167.0,5126.0,30739.0,210.0,3197.0,765.0,73.0,475.0,315.0,139.0,577.0,0.0,0.0,0.0,47.0,668.0,23.0,0.0,97.0,788.0,0.0,73902.0,-73902.0
599,FL,2019,108139.0,68405.0,0.0,10056.0,1869.0,97075.0,58739.0,3365.0,13.0,75953.0,0.0,303946.0,233542.0,1578161.0,1815808.0,1850944.0,1747600.0,392752.0,448305.0,497973.0,1289725.0,11065.0,0.0,0.0,129424.0,0.0,0.0,-129424.0,3378.0,75953.0,79331.0,155814.0,235145.0,80330.0,315475.0,3627511.0,3931457.0,619421.0,4246932.0,4937574.0,3365.0,13.0,0.0,0.0,10304.0,223238.0,0.0,0.0,0.0,291.0,433943.0,56347.0,1289725.0,0.0,329485.0,72401.0,1606.0,1946.0,0.0,7976.0,0.0,0.0,2080.0,0.0,1869.0,0.0,0.0,22272.0,16944.0,122660.0,1351480.0,64805.0,303946.0,1649271.0,6436.0,96383.0,15425.0,48293.0,32372.0,115.0,34629.0,1289.0,19220.0,39155.0,364.0,0.0,0.0,0.0,302.0,86104.0,10625.0,44.0,108139.0,11065.0,129424.0,-129424.0
