StateCode,Year,WoodProduction,Solar,Wind,Geothermal,Hydropower,Wood,Waste,Biodiesel,BiodieselLoss,FuelEthanol,FuelEthanolLoss,Nuclear,Coal,NaturalGas,Petroleum,ElectricPower,Transportation,Industrial,Commercial,Residential,ElectricLoss,DensifiedBiomassExport,ElectricImport,CoalCokeImport,NetInterstateImport,ElectricExport,CoalCokeExport,NetInterstateExport,BiodieselSum,FuelEthanolSum,Biofuel,WoodWaste,Biomass,NoncombustibleRenewable,Renewable,FossilFuel,Nonrenewable,Clean,Total,Consumption,Biodiesel->Transportation,BiodieselLoss->Industrial,Coal->Transportation,Coal->Residential,Coal->Industrial,Coal->ElectricPower,Coal->Commercial,CoalCokeImport->Industrial,ElectricImport->ElectricPower,ElectricPower->Transportation,ElectricPower->Residential,ElectricPower->Industrial,ElectricPower->ElectricLoss,ElectricPower->ElectricExport,ElectricPower->Commercial,FuelEthanol->Transportation,FuelEthanol->Industrial,FuelEthanol->Commercial,FuelEthanolLoss->Industrial,Geothermal->Residential,Geothermal->Industrial,Geothermal->ElectricPower,Geothermal->Commercial,Hydropower->Industrial,Hydropower->ElectricPower,Hydropower->Commercial,Industrial->CoalCokeExport,NaturalGas->Transportation,NaturalGas->Residential,NaturalGas->Industrial,NaturalGas->ElectricPower,NaturalGas->Commercial,Nuclear->ElectricPower,Petroleum->Transportation,Petroleum->Residential,Petroleum->Industrial,Petroleum->ElectricPower,Petroleum->Commercial,Solar->Residential,Solar->Industrial,Solar->ElectricPower,Solar->Commercial,Waste->Industrial,Waste->ElectricPower,Waste->Commercial,Wind->Industrial,Wind->ElectricPower,Wind->Commercial,Wood->Residential,Wood->Industrial,Wood->ElectricPower,Wood->Commercial,WoodProduction->Wood,WoodProduction->DensifiedBiomassExport,NetInterstateImport->ElectricPower,ElectricPower->NetInterstateExport
AK,1960,3681.0,0.0,0.0,0.0,3120.0,3681.0,0.0,0.0,0.0,0.0,0.0,0.0,7189.0,2034.0,45410.0,4610.0,27139.0,16246.0,6100.0,8350.0,3599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681.0,3681.0,3120.0,6801.0,54633.0,54633.0,6801.0,61434.0,62445.0,0.0,0.0,86.0,714.0,4980.0,914.0,496.0,0.0,0.0,0.0,517.0,155.0,3599.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3120.0,0.0,0.0,2.0,176.0,1856.0,0.0,0.0,0.0,27051.0,5137.0,7415.0,576.0,5230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,1840.0,0.0,34.0,3681.0,0.0,0.0,0.0
AK,1961,4145.0,0.0,0.0,0.0,3168.0,4145.0,0.0,0.0,0.0,0.0,0.0,0.0,11552.0,2300.0,51008.0,5012.0,31895.0,21206.0,6376.0,8860.0,3837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4145.0,4145.0,3168.0,7313.0,64860.0,64860.0,7313.0,72173.0,73349.0,0.0,0.0,42.0,713.0,9174.0,1127.0,496.0,0.0,0.0,0.0,590.0,166.0,3837.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,0.0,0.0,49.0,195.0,1934.0,0.0,122.0,0.0,31804.0,5538.0,7644.0,718.0,5304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.0,2288.0,0.0,35.0,4145.0,0.0,0.0,0.0
AK,1962,4246.0,0.0,0.0,0.0,3207.0,4246.0,0.0,0.0,0.0,0.0,0.0,0.0,13559.0,4048.0,53752.0,5466.0,34182.0,24606.0,6403.0,9514.0,4107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4246.0,4246.0,3207.0,7453.0,71359.0,71359.0,7453.0,78812.0,80171.0,0.0,0.0,43.0,854.0,10696.0,1373.0,593.0,0.0,0.0,0.0,672.0,178.0,4107.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3207.0,0.0,0.0,75.0,556.0,3399.0,0.0,19.0,0.0,34065.0,5729.0,7822.0,886.0,5251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.0,2511.0,0.0,32.0,4246.0,0.0,0.0,0.0
AK,1963,4383.0,0.0,0.0,0.0,3410.0,4383.0,0.0,0.0,0.0,0.0,0.0,0.0,11999.0,5567.0,55429.0,6839.0,32387.0,25156.0,8154.0,9900.0,5190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4383.0,4383.0,3410.0,7793.0,72995.0,72995.0,7793.0,80788.0,82436.0,0.0,0.0,36.0,543.0,9545.0,1482.0,393.0,0.0,0.0,0.0,774.0,252.0,5190.0,0.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3410.0,0.0,0.0,42.0,693.0,2225.0,975.0,1632.0,0.0,32309.0,6240.0,10434.0,971.0,5475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651.0,2700.0,0.0,31.0,4383.0,0.0,0.0,0.0
AK,1964,4728.0,0.0,0.0,0.0,3374.0,4728.0,0.0,0.0,0.0,0.0,0.0,0.0,12029.0,6805.0,58130.0,8746.0,32246.0,24870.0,10228.0,10801.0,6922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4728.0,4728.0,3374.0,8102.0,76964.0,76964.0,8102.0,85066.0,86891.0,0.0,0.0,33.0,423.0,8989.0,2279.0,306.0,0.0,0.0,0.0,864.0,256.0,6922.0,0.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3374.0,0.0,0.0,0.0,1055.0,2192.0,1614.0,1944.0,0.0,32213.0,6756.0,10440.0,1479.0,7242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.0,2993.0,0.0,32.0,4728.0,0.0,0.0,0.0
AK,1965,4863.0,0.0,0.0,0.0,3655.0,4863.0,0.0,0.0,0.0,0.0,0.0,0.0,9888.0,7670.0,61705.0,10333.0,34379.0,22327.0,11717.0,11134.0,8225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4863.0,4863.0,3655.0,8518.0,79263.0,79263.0,8518.0,87781.0,89890.0,0.0,0.0,21.0,371.0,6526.0,2690.0,280.0,0.0,0.0,0.0,996.0,200.0,8225.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3655.0,0.0,0.0,0.0,1451.0,1755.0,2170.0,2293.0,0.0,34357.0,6717.0,10612.0,1817.0,8202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,3234.0,0.0,30.0,4863.0,0.0,0.0,0.0
AK,1966,5035.0,0.0,0.0,0.0,3293.0,5035.0,0.0,0.0,0.0,0.0,0.0,0.0,16431.0,12282.0,65655.0,11638.0,36233.0,32980.0,11989.0,12220.0,9273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5035.0,5035.0,3293.0,8328.0,94368.0,94368.0,8328.0,102696.0,105060.0,0.0,0.0,38.0,468.0,12860.0,2710.0,353.0,0.0,0.0,0.0,1120.0,214.0,9273.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3293.0,0.0,0.0,0.0,1794.0,4070.0,3856.0,2562.0,0.0,36195.0,7272.0,12395.0,1780.0,8013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,3440.0,0.0,30.0,5035.0,0.0,0.0,0.0
AK,1967,4671.0,0.0,0.0,0.0,3786.0,4671.0,0.0,0.0,0.0,0.0,0.0,0.0,18462.0,11889.0,76363.0,12639.0,43862.0,34693.0,13640.0,12872.0,10106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0,4671.0,3786.0,8457.0,106714.0,106714.0,8457.0,115171.0,117706.0,0.0,0.0,37.0,427.0,15341.0,2335.0,322.0,0.0,0.0,0.0,1187.0,214.0,10106.0,0.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3786.0,0.0,0.0,0.0,1958.0,2728.0,4481.0,2722.0,0.0,43825.0,7873.0,13193.0,2037.0,9436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428.0,3216.0,0.0,27.0,4671.0,0.0,0.0,0.0
AK,1968,4705.0,0.0,0.0,0.0,3781.0,4705.0,0.0,0.0,0.0,0.0,0.0,0.0,15998.0,17636.0,80412.0,14377.0,47177.0,35578.0,14262.0,14001.0,11515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.0,4705.0,3781.0,8486.0,114046.0,114046.0,8486.0,122532.0,125395.0,0.0,0.0,28.0,344.0,12791.0,2564.0,270.0,0.0,0.0,0.0,1341.0,229.0,11515.0,0.0,1293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3781.0,0.0,0.0,0.0,2304.0,4898.0,5697.0,4737.0,0.0,47150.0,8601.0,14392.0,2335.0,7935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.0,3268.0,0.0,27.0,4705.0,0.0,0.0,0.0
AK,1969,4893.0,0.0,0.0,0.0,3562.0,4893.0,0.0,0.0,0.0,0.0,0.0,0.0,13191.0,42940.0,92045.0,15572.0,56517.0,50380.0,21553.0,15810.0,12371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4893.0,4893.0,3562.0,8455.0,148176.0,148176.0,8455.0,156631.0,159832.0,0.0,0.0,16.0,333.0,9800.0,2781.0,261.0,0.0,0.0,0.0,1519.0,258.0,12371.0,0.0,1424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3562.0,0.0,0.0,0.0,4596.0,20541.0,6730.0,11073.0,0.0,56501.0,8020.0,16255.0,2500.0,8769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.0,3526.0,0.0,25.0,4893.0,0.0,0.0,0.0
